key_point_id,key_point,topic,stance
8142060847006617009,America is a free nation where working hard you can live the American dream,The USA is a good country to live in,1
7374134076280790715,Usa for being the world power is the American dream where everything is possible,The USA is a good country to live in,1
2948273198749857423,in usa you had health and security and you can work and make deccent salary,The USA is a good country to live in,1
-6132300878188902767,The USA is a first world country and is a good place to live,The USA is a good country to live in,1
-1696377810025764155,The USA is a great place to live as everybody is able to prosper.,The USA is a good country to live in,1
-6265749542985524507,gives you opportunities for improvement with secure jobs and good salary,The USA is a good country to live in,1
716024649290557329,The United States is a land of opportunities where we can develop in different environments,The USA is a good country to live in,1
2619888223226157479,"Along with the diversity of people, The United States has a diverse natural landscape",The USA is a good country to live in,1
7755593292552977192,It is very unsafe with the large number of attacks that there are,The USA is a good country to live in,-1
-4143999492187458922,The USA is not a good country to live in because some people don't respect the immigrants,The USA is a good country to live in,-1
5486856049937785756,"The health sector, despite being very good, is excessively expensive, as is healthy food.",The USA is a good country to live in,-1
8347770032284244691,The USA is not a good country to live in because many people are racists,The USA is a good country to live in,-1
5351390235902171524,The USA is a greatly divided country that can make it difficult to succeed,The USA is a good country to live in,-1
6816410698044379743,there are many racial problems that endanger social peace,The USA is a good country to live in,-1
-5016009465133779736,it doesn`t have free healthcare and it has a lot of shootings and racist systems in place.,The USA is a good country to live in,-1
680805024184801553,"No, it is a very strict country with an unstoppable political system.",The USA is a good country to live in,-1
-1178858013575583371,in the USA the health system is very expensive and discriminates against the poor population,The USA is a good country to live in,-1
5024570835671177966,The USA is not a good country to live in because is always in war with other country,The USA is a good country to live in,-1
