arg_id,argument,topic,stance,sents,sents_with_scores,gt-kps,gt-cand-kps,aspects
arg_0_10,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,Assisted suicide should be a criminal offence,-1,['assisted suicide allows terminally ill people to die with dignity and should not be criminalized'],"[('assisted suicide allows terminally ill people to die with dignity and should not be criminalized', 0.9390295743942261)]",['Assisted suicide gives dignity to the person that wants to commit it'],['assisted suicide allows terminally ill people to die with dignity and should not be criminalized'],"['dignity', 'terminally ill people', 'die']"
arg_0_11,assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention.,Assisted suicide should be a criminal offence,-1,['assisted suicide allows terminally ill persons to choose when to die and do it with dignity.'],"[('assisted suicide allows terminally ill persons to choose when to die and do it with dignity.', 0.9354555606842041)]","['Assisted suicide gives dignity to the person that wants to commit it', 'Assisted suicide reduces suffering']","['assisted suicide allows terminally ill persons to choose when to die and do it with dignity.', 'assisted suicide allows terminally ill persons to choose when to die and do it with dignity.']","['terminally ill persons', 'human intervention', 'pain and misery', 'dignity', 'choose']"
arg_0_12,Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere. It is a human right to choose not to suffer with a terminal illness.,Assisted suicide should be a criminal offence,-1,['Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere.'],"[('Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere.', 0.9599801301956177)]",['Assisted suicide reduces suffering'],['Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere.'],"['terminal illness', 'suicide', 'live with dignity', 'right', 'human right to choose', 'human right']"
arg_0_13,assisted suicide gives people control over their life in terrible circumstances. it allows them dignity in death rather than living in terrible conditions for many years.,Assisted suicide should be a criminal offence,-1,['assisted suicide gives people control over their life in terrible circumstances.'],"[('assisted suicide gives people control over their life in terrible circumstances.', 0.9259259104728699)]","['Assisted suicide gives dignity to the person that wants to commit it', 'People should have the freedom to choose to end their life']","['assisted suicide gives people control over their life in terrible circumstances.', 'assisted suicide gives people control over their life in terrible circumstances.']","['terrible conditions', 'dignity in death', 'control over their life', 'terrible circumstances']"
arg_0_14,assisted suicide helps terminally ill people end their suffering,Assisted suicide should be a criminal offence,-1,['assisted suicide helps terminally ill people end their suffering'],"[('assisted suicide helps terminally ill people end their suffering', 0.8939359188079834)]",['Assisted suicide reduces suffering'],['assisted suicide helps terminally ill people end their suffering'],"['end', 'terminally ill people']"
arg_0_15,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,Assisted suicide should be a criminal offence,-1,['Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.'],"[('Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.', 0.9312276244163513)]",['Assisted suicide reduces suffering'],['Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.'],"['lives', 'suicide', 'devastating disease', 'pain']"
arg_0_16,"assisted suicide is a blessing not a crime. a person who wants to be assisted in this is in great pain or has no ability to be cured, let someone give the suffering the chance to end it.",Assisted suicide should be a criminal offence,-1,"['assisted suicide is a blessing not a crime.', 'a person who wants to be assisted in this is in great pain or has no ability to be cured, let someone give the suffering the chance to end it.']","[('assisted suicide is a blessing not a crime.', 0.8090577721595764), ('a person who wants to be assisted in this is in great pain or has no ability to be cured, let someone give the suffering the chance to end it.', 0.901149570941925)]",['Assisted suicide reduces suffering'],['assisted suicide is a blessing not a crime.'],"['cured', 'great', 'pain', 'suffering', 'ability', 'assisted suicide']"
arg_0_17,assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.,Assisted suicide should be a criminal offence,-1,['assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.'],"[('assisted suicide is a compassionate way to help people choosing to end their life in a nonviolent way.', 0.8954232335090637)]",[],[],"['compassionate', 'nonviolent', 'suicide']"
arg_0_18,assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed,Assisted suicide should be a criminal offence,-1,['assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed'],"[('assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed', 0.9241827726364136)]",['Assisted suicide reduces suffering'],['assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed'],"['deadly diseases', 'suicide']"
arg_0_19,assisted suicide is a human right and would spare the terminally i'll pain.,Assisted suicide should be a criminal offence,-1,"[""assisted suicide is a human right and would spare the terminally i'll pain.""]","[(""assisted suicide is a human right and would spare the terminally i'll pain."", 0.8320488929748535)]",['Assisted suicide reduces suffering'],"[""assisted suicide is a human right and would spare the terminally i'll pain.""]","['human right', 'terminally', 'spare', 'pain']"
arg_0_20,"assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.",Assisted suicide should be a criminal offence,-1,"['assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.']","[('assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.', 0.9667626619338989)]",['Assisted suicide reduces suffering'],"['assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.']","['difficult', 'suicide', 'life', 'help', 'humane and caring', 'lived properly']"
arg_0_21,assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.,Assisted suicide should be a criminal offence,-1,['assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.'],"[('assisted suicide is a humane way to end a life as we do with animals in pain and should not be a criminal offence.', 0.9141429662704468)]",[],[],"['humane', 'criminal offence', 'suicide', 'end a life']"
arg_0_22,assisted suicide is a lot better than letting a person suffer until end of life.,Assisted suicide should be a criminal offence,-1,['assisted suicide is a lot better than letting a person suffer until end of life.'],"[('assisted suicide is a lot better than letting a person suffer until end of life.', 0.8511990308761597)]",['Assisted suicide reduces suffering'],['assisted suicide is a lot better than letting a person suffer until end of life.'],"['suffer', 'suicide']"
arg_0_23,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,Assisted suicide should be a criminal offence,-1,['assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution'],"[('assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution', 0.9095984697341919)]",['People should have the freedom to choose to end their life'],['assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution'],"['legal', 'suicide', 'personal choice']"
arg_0_24,assisted suicide is necessary in our modern world full of people dealing with pain and sorrow,Assisted suicide should be a criminal offence,-1,['assisted suicide is necessary in our modern world full of people dealing with pain and sorrow'],"[('assisted suicide is necessary in our modern world full of people dealing with pain and sorrow', 0.834242045879364)]",['Assisted suicide reduces suffering'],['assisted suicide is necessary in our modern world full of people dealing with pain and sorrow'],"['assisted suicide', 'pain']"
arg_0_25,"assisted suicide is sometimes the only solution for some people, we should not take it off.",Assisted suicide should be a criminal offence,-1,"['assisted suicide is sometimes the only solution for some people, we should not take it off.']","[('assisted suicide is sometimes the only solution for some people, we should not take it off.', 0.8246525526046753)]",[],[],['assisted suicide']
arg_0_26,"assisted suicide must be allowed. if a terminally ill person wants to end their life, allow them the peace of being able to with the help of a professional instead of potentially making it worse on their own.",Assisted suicide should be a criminal offence,-1,"['assisted suicide must be allowed.', 'if a terminally ill person wants to end their life, allow them the peace of being able to with the help of a professional instead of potentially making it worse on their own.']","[('assisted suicide must be allowed.', 0.7594473361968994), ('if a terminally ill person wants to end their life, allow them the peace of being able to with the help of a professional instead of potentially making it worse on their own.', 0.8420735001564026)]",[],[],"['ill', 'assisted suicide', 'end their life', 'peace']"
arg_0_27,assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.,Assisted suicide should be a criminal offence,-1,['assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.'],"[('assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.', 0.9527267217636108)]",['Assisted suicide gives dignity to the person that wants to commit it'],['assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.'],"['painful death', 'suicide', 'terminal illnesses', 'dignity', 'die', 'long']"
arg_0_28,assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.,Assisted suicide should be a criminal offence,-1,['assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.'],"[('assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.', 0.8985506892204285)]",['Assisted suicide reduces suffering'],['assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.'],"['severe illnesses', 'suicide']"
arg_0_29,assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice,Assisted suicide should be a criminal offence,-1,['assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice'],"[('assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice', 0.9640311598777771)]",['Assisted suicide reduces suffering'],['assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice'],"['debilitating', 'painful illnesses', 'informed']"
arg_0_30,assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.,Assisted suicide should be a criminal offence,-1,['assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.'],"[('assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.', 0.9672674536705017)]",['Assisted suicide gives dignity to the person that wants to commit it'],['assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.'],"['terminal illness', 'dignity', 'uncurable pain', 'suicide', 'informed']"
arg_0_31,assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane,Assisted suicide should be a criminal offence,-1,['assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane'],"[('assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane', 0.9060460329055786)]",['Assisted suicide reduces suffering'],['assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane'],"['suffering', 'criminal offence', 'inhumane', 'heartless', 'pain']"
arg_0_32,assisted suicide should not be a crime since the perpetrator was merely obeying the wishes of another.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a crime since the perpetrator was merely obeying the wishes of another.'],"[('assisted suicide should not be a crime since the perpetrator was merely obeying the wishes of another.', 0.799433171749115)]",[],[],"['assisted suicide', 'wishes', 'obeying']"
arg_0_33,"assisted suicide should not be a crime. if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a crime.', 'if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.']","[('assisted suicide should not be a crime.', 0.6754721999168396), ('if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.', 0.8942366242408752)]",['People should have the freedom to choose to end their life'],['assisted suicide should not be a crime.'],"['crime', '', 'suffering', 'assisted suicide', 'die']"
arg_0_34,"assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.']","[('assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.', 0.843058705329895)]","['Assisted suicide reduces suffering', 'The terminally ill would benefit from assisted suicide']","['assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.', 'assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.']","['mercy', 'suffering', 'saving', 'suicide', 'criminal defense']"
arg_0_35,Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.,Assisted suicide should be a criminal offence,-1,['Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.'],"[('Assisted suicide should not be a criminal offence as people should not be expected to live in vegetative states and need help to make their own decisions to die a reality.', 0.8756394386291504)]",[],[],"['decisions', 'criminal offence', 'suicide', 'vegetative states']"
arg_0_36,Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.,Assisted suicide should be a criminal offence,-1,['Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.'],"[('Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.', 0.8600848913192749)]",['Assisted suicide reduces suffering'],['Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.'],"['criminal offence', 'suicide', 'trusted', 'criminal', 'suffer indefinitely', 'quality of life']"
arg_0_37,assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.'],"[('assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.', 0.8049457669258118)]",['People should have the freedom to choose to end their life'],['assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.'],"['decide', 'criminal offence', 'suicide', 'die']"
arg_0_38,assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to,Assisted suicide should be a criminal offence,-1,"[""assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to""]","[(""assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to"", 0.7793582677841187)]",['People should have the freedom to choose to end their life'],"[""assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to""]","['criminal offence', 'suicide']"
arg_0_39,assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.'],"[('assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.', 0.897809624671936)]",['Assisted suicide reduces suffering'],['assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.'],"['illnesses', 'ease', 'injuries', 'suffering']"
arg_0_40,assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.'],"[('assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.', 0.945503830909729)]",['Assisted suicide reduces suffering'],['assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.'],"['end there life', 'suicide', 'motor neurone disease', 'debilitating medical condition']"
arg_0_41,assisted suicide should not be a criminal offence if the patients asking for it to be done to them,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offence if the patients asking for it to be done to them'],"[('assisted suicide should not be a criminal offence if the patients asking for it to be done to them', 0.5461395382881165)]",[],[],"['criminal offence', 'suicide']"
arg_0_42,"assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.']","[('assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.', 0.909941554069519)]","['Assisted suicide gives dignity to the person that wants to commit it', 'Assisted suicide reduces suffering']","['assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.', 'assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.']","['ill', 'suffering', 'dignity', 'suicide', 'die']"
arg_0_43,"assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to",Assisted suicide should be a criminal offence,-1,"[""assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to""]","[(""assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to"", 0.7358987927436829)]",['People should have the freedom to choose to end their life'],"[""assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to""]","['suicide', 'criminal offense', 'live']"
arg_0_44,"assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.']","[('assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.', 0.85429447889328)]",['People should have the freedom to choose to end their life'],"['assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.']","['suicide', 'criminal offense', 'pain']"
arg_0_45,assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness'],"[('assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness', 0.854409396648407)]",['Assisted suicide reduces suffering'],['assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness'],"['terminal', 'constant pain']"
arg_0_46,assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.'],"[('assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.', 0.8542466759681702)]",['Assisted suicide reduces suffering'],['assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.'],"['ill', 'suffering', 'suicide', 'criminal offense']"
arg_0_47,"assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.",Assisted suicide should be a criminal offence,-1,"['assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.']","[('assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.', 0.812098503112793)]","['Assisted suicide reduces suffering', 'People should have the freedom to choose to end their life']","['assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.', 'assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.']","['hope', 'end the pain', 'criminal offense']"
arg_0_48,assisted suicide should not be a criminal offense since it should be a personal decision what a person wants for themselves. it could prevent months or years of pain for someone with no quality of life.,Assisted suicide should be a criminal offence,-1,['assisted suicide should not be a criminal offense since it should be a personal decision what a person wants for themselves.'],"[('assisted suicide should not be a criminal offense since it should be a personal decision what a person wants for themselves.', 0.844904899597168)]",['People should have the freedom to choose to end their life'],['assisted suicide should not be a criminal offense since it should be a personal decision what a person wants for themselves.'],"['suicide', 'personal decision', 'pain', 'prevent', 'criminal offense', 'quality of life']"
arg_0_49,assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live,Assisted suicide should be a criminal offence,-1,"[""assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live""]","[(""assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live"", 0.8396729826927185)]",['People should have the freedom to choose to end their life'],"[""assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live""]","['criminal offence', 'suicide', 'right']"
arg_0_50,assisted suicide shouldn't be a criminal offence because it allows the patient to have control over their final decisions,Assisted suicide should be a criminal offence,-1,"[""assisted suicide shouldn't be a criminal offence because it allows the patient to have control over their final decisions""]","[(""assisted suicide shouldn't be a criminal offence because it allows the patient to have control over their final decisions"", 0.8043159246444702)]",[],[],"['criminal offence', 'control over their final']"
arg_0_51,assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed,Assisted suicide should be a criminal offence,-1,"[""assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed""]","[(""assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed"", 0.7989630699157715)]",['Assisted suicide reduces suffering'],"[""assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed""]","['criminal offence', 'suicide', 'life', 'pain']"
arg_0_52,"assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway",Assisted suicide should be a criminal offence,-1,"[""assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway""]","[(""assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway"", 0.8224822878837585)]",['The terminally ill would benefit from assisted suicide'],"[""assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway""]","['criminal offence', 'die', 'incurable disease']"
arg_0_53,assisted suicide sometimes is the only thing that ends suffering.,Assisted suicide should be a criminal offence,-1,['assisted suicide sometimes is the only thing that ends suffering.'],"[('assisted suicide sometimes is the only thing that ends suffering.', 0.8688241839408875)]",['Assisted suicide reduces suffering'],['assisted suicide sometimes is the only thing that ends suffering.'],"['suicide', 'ends suffering']"
arg_0_54,assisted suicide usually involves a terminal medical patient that is tired of fighting and being in agony. they should be allowed to 'check out' and receive help doing so.,Assisted suicide should be a criminal offence,-1,['assisted suicide usually involves a terminal medical patient that is tired of fighting and being in agony.'],"[('assisted suicide usually involves a terminal medical patient that is tired of fighting and being in agony.', 0.8998273015022278)]",['People should have the freedom to choose to end their life'],['assisted suicide usually involves a terminal medical patient that is tired of fighting and being in agony.'],"['', 'terminal medical patient', 'receive', 'agony', 'tired of fighting']"
arg_0_55,assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.,Assisted suicide should be a criminal offence,-1,['assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.'],"[('assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.', 0.9048981070518494)]",['Assisted suicide reduces suffering'],['assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.'],"['terminal illness', 'suffering', 'relieve much']"
arg_0_56,assisted suicide would save terminally i'll people pain and suffering.,Assisted suicide should be a criminal offence,-1,"[""assisted suicide would save terminally i'll people pain and suffering.""]","[(""assisted suicide would save terminally i'll people pain and suffering."", 0.5315052270889282)]","['Assisted suicide reduces suffering', 'The terminally ill would benefit from assisted suicide']","[""assisted suicide would save terminally i'll people pain and suffering."", ""assisted suicide would save terminally i'll people pain and suffering.""]","['save terminally', 'pain and suffering']"
arg_0_57,assisted suicides are less painful and are an act of mercy,Assisted suicide should be a criminal offence,-1,['assisted suicides are less painful and are an act of mercy'],"[('assisted suicides are less painful and are an act of mercy', 0.8585216999053955)]",['Assisted suicide reduces suffering'],['assisted suicides are less painful and are an act of mercy'],"['suicides', 'less painful', 'act']"
